segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
1,A,0.4518,0,-0.0222,0.3117,0.4227,0,0.0281,null,-22.6350,-24.6304,-5.4286,-5.3324,0.0447,-0.0011,0.7646,0.3981,0,0.0187,7.1539,0.1595,0.1824,0.4357,0.2048,0.3211,0
1,Aya23,0.8357,32.1624,0.7013,0.9006,0.8388,66,0.7020,-5,-6.2118,-5.2511,-1.4293,-1.5423,0.9367,0.7991,0.9495,0.8485,26.5423,0.5511,52.2360,1.3798,1.1423,0.3742,0.2048,0.3211,32.4144
1,B,0.5264,0.7599,0.0758,0.2965,0.3080,0,0.1127,null,-22.0642,-24.7438,-4.8031,-4.6384,-0.0201,-0.0183,0.8162,0.4830,3.3344,0.0861,18.5404,0.1199,0.1707,-0.9698,0.2048,0.3211,1.0709
1,C,0.6963,17.1049,0.2771,0.4499,0.3281,10,0.4149,null,-16.2585,-15.4258,-2.7049,-2.8987,0.0071,0.0103,0.9309,0.6927,16.3419,0.3298,31.3728,0.4440,0.3756,-1.8671,0.2048,0.3211,12.4151
1,Claude-3.5,0.8733,36.4555,0.7236,0.9265,0.8886,100,0.7097,-0,-4.4129,-4.1042,-1.1412,-1.2671,0.8962,0.8249,0.9455,0.8723,30.3140,0.5706,56.7231,1.4164,1.1623,0.4476,0.2048,0.3211,32.8927
1,CommandR-plus,0.8599,42.5011,0.7469,0.8967,0.8750,66,0.5737,-0,-3.9974,-4.1414,-1.1688,-1.3590,0.8807,0.8201,0.9608,0.8709,36.6254,0.5098,57.8538,1.4125,1.1507,0.3903,0.2048,0.3211,37.4266
1,D,0.7706,19.1785,0.4041,0.6939,0.5257,0,0.6530,null,-10.9887,-10.5494,-2.2076,-2.2972,0.6258,0.6756,0.9559,0.7769,18.8692,0.4977,46.2480,0.9375,0.8989,-0.5464,0.2048,0.3211,13.8782
1,DLUT_GTCOM,0.8496,40.0446,0.7197,0.9222,0.8696,100,0.7093,-0,-4.7057,-4.2540,-1.1198,-1.3446,0.8746,0.7715,0.9516,0.8582,30.3998,0.5702,56.7420,1.4048,1.1599,0.4316,0.2048,0.3211,36.6873
1,E,0.7613,22.4086,0.2843,0.4700,0.3816,20,0.4823,null,-14.6597,-14.2564,-2.1210,-2.1565,0.5377,0.5476,0.9244,0.7507,20.3961,0.3900,34.6002,0.2758,0.7181,-0.9006,0.2048,0.3211,14.6069
1,F*,0.8120,26.2882,0.6151,0.8284,0.8522,50,0.6943,-0,-6.0572,-5.1913,-1.6828,-1.7601,0.8357,0.8140,0.9481,0.8165,22.6867,0.5267,51.0494,1.2157,1.1392,0.2676,0.2048,0.3211,15.7737
