segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
1,A,0.6024,0,-0.0088,0.1965,0.1440,0,0.1485,null,-27.4104,-24.9683,-4.3669,-4.5300,-0.0318,-0.0279,0.7538,0.7779,9.6277,0.1308,0.1569,0.0978,0.1466,-2.1278,0.4126,0.1103,0
1,Aya23,0.7773,4.7677,0.5583,0.7955,0.7618,50,0.6631,-0,-3.2308,-3.5826,-2.3992,-2.7002,0.9160,0.9435,0.7923,0.8980,40.9057,0.5654,52.5516,1.3477,1.0371,0.2225,0.4126,0.1103,13.4008
1,B (50k),0.6673,0,0.1688,0.2789,0.2332,0,0.3667,null,-23.4949,-22.6870,-4.7064,-4.7461,-0.0191,-0.0040,0.7653,0.8220,19.2493,0.2777,28.4031,0.3581,0.1585,-2.1393,0.4126,0.1103,4.5948
1,C,0.6957,4.1961,0.1950,0.4007,0.2540,0,0.4357,null,-18.8309,-19.1949,-4.3630,-4.3470,-0.0214,-0.0132,0.8090,0.8435,18.1828,0.3281,28.9095,0.7850,0.8164,-0.2036,0.4126,0.1103,5.0732
1,Claude-3.5,0.7915,4.0272,0.7467,0.8433,0.8532,100,0.6770,-0,-1.1797,-0.7090,-2.0720,-2.1406,0.9949,0.9846,0.8653,0.9182,39.5526,0.5703,56.6797,1.4258,1.1792,0.4616,0.4126,0.1103,6.5383
1,CommandR-plus,0.8136,4.9324,0.7443,0.8445,0.8447,100,0.7165,-0,-1.4881,-2.1264,-2.0747,-2.2155,0.9889,0.9802,0.8612,0.9280,44.9372,0.6049,53.2543,1.4192,1.1754,0.3740,0.4126,0.1103,17.1247
1,D (50k),0.7509,3.7478,0.1881,0.4316,0.2824,0,0.5876,null,-18.8950,-18.4460,-3.4554,-3.7748,0.0947,0.1006,0.7695,0.8603,45.3264,0.5291,38.9694,0.8437,0.7250,-1.6495,0.4126,0.1103,5.1081
1,Dubformer,0.8113,5.5224,0.7367,0.8411,0.8435,100,0.7219,-0,-1.3766,-1.2280,-2.1507,-2.1600,0.9908,0.9813,0.8636,0.9223,45.7933,0.6113,53.6373,1.4282,1.1816,0.3609,0.4126,0.1103,19.3453
1,E (200k),0.6755,0,0.1755,0.3963,0.2620,0,0.4712,null,-22.4471,-22.2423,-4.4656,-4.5608,-0.0142,0.0009,0.7663,0.8322,25.7546,0.3735,37.0212,0.1466,0.7924,-1.4317,0.4126,0.1103,3.6447
1,F,0.6681,2.8398,0.1893,0.4011,0.3156,0,0.4057,null,-17.1703,-16.0525,-3.6865,-3.7647,0.0883,0.2628,0.7895,0.8317,20.5283,0.3227,34.9329,0.8332,0.9517,0.0348,0.4126,0.1103,4.7536
1,G (200k),0.7367,0,0.1709,0.4492,0.3515,10,0.5735,null,-18.8574,-17.5209,-3.9471,-4.2466,0.5349,0.6061,0.8104,0.8533,29.0166,0.4638,47.0581,0.9207,0.9215,-1.2040,0.4126,0.1103,2.2974
1,GPT-4,0.8093,4.9324,0.7493,0.8387,0.8363,100,0.7176,-0,-1.6182,-1.7317,-2.1000,-2.1456,0.9909,0.9824,0.8735,0.9265,45.4468,0.6075,53.1622,1.4172,1.1881,0.3564,0.4126,0.1103,17.1247
1,Gemini-1.5-Pro,0.7923,4.4569,0.7652,0.8468,0.8512,100,0.7070,-0,-1.1654,-1.0035,-1.9937,-2.0397,0.9970,0.9851,0.8745,0.9219,45.3046,0.6006,55.9930,1.4325,1.1850,0.4971,0.4126,0.1103,17.1247
1,H (400k),0.6872,4.7677,0.2126,0.3636,0.2652,0,0.4630,null,-19.4712,-20.7066,-3.2354,-3.2790,0.2923,0.3553,0.7682,0.8423,31.7774,0.3966,32.4803,0.8425,0.8200,-0.4783,0.4126,0.1103,9.1997
1,I (400k),0.6517,4.1961,0.1974,0.3605,0.2843,10,0.3947,null,-18.0476,-16.3441,-3.9132,-3.9521,-0.0113,0.0024,0.7332,0.8357,22.7141,0.3179,27.8207,0.6525,0.9216,-0.9800,0.4126,0.1103,7.9946
1,IKUN,0.7587,4.0272,0.6349,0.7774,0.6473,90,0.5474,-0,-3.6933,-4.7571,-2.2260,-2.2473,0.8887,0.9141,0.8358,0.8816,41.8436,0.4958,44.9261,1.3640,1.1435,0.4626,0.4126,0.1103,17.0260
1,IKUN-C,0.8045,8.9138,0.7597,0.8470,0.8536,100,0.7631,-0,-0.8527,-1.1697,-1.8794,-1.9375,0.9909,0.9801,0.8304,0.9244,54.2463,0.6770,56.0264,1.4400,1.1753,0.4762,0.4126,0.1103,19.8032
